ID;REQUISITO;OPERAÇÃO;RESULTADO ESPERADO;COMENTÁRIO DO CLIENTE;STATUS;RISCOS/AÇÕES;;;;
1;Usuario deve entrar no site www.hoyolab.com               (Tela Inicial);"Inserir o endereco ""www.hoyolab.com"" e entrar no site";Ira abrir o site hoyolab e mostra a tela inicial.;;OK;;;;;
2;Usuario deve entrar na tela de login (Tela de Login);"Clicar no botao ""Login"" e entrar na tela de login.";Ira abrir a tela de login para iniciar sessao.;;OK;;;;;
3;Usuario deve acessar o conteudo da pagina inicial (tela inicial);Clicar em qualquer conteudo da pagina inicial ;Ira abrir a tela de login para iniciar sessao.;De preferencia clicar em conteudo que deve possuir a conta registrado como por exemplo: curtir, comentar, publicar, acessar conteudo envolvido com dados de jogos.;OK;;;;;
4;"Usuario deve estar aberto a tela de login e inserir EMAIL no campo ""Usuario/Email"" (Tela de login)";"Clicar no campo ""Usuario/Email"" e inserir o email.";"Sera preenchido o email inserido no campo ""Usuario/Email""";;OK;;;;;
5;"Usuario deve estar aberto a tela de login e inserir NOME DE USUARIO no campo ""Usuario/Email"" (Tela de login)";"Clicar no campo ""Usuario/Email"" e inserir o nome de usuario.";"Sera preenchido o nome de usuario inserido no campo ""Usuario/Email""";Nome de usuario é criado apos o cadastro de conta;OK;;;;;
6;"Usuario deve estar aberto a tela de login e inserir NADA no campo ""Usuario/Email"" (Tela de login)";"Clicar no campo ""Usuario/Email"" e clicar fora do campo ""Usuario/Email""";"Aparecera mensagem de erro (em cor vermelha) ""O nome de usuário não pode ficar vazio.""";Inserindo no minimo 1 caractere, nao aparece este erro.;OK;;;;;
7;"Usuario deve estar aberto a tela de login e inserir SENHA no campo ""Senha"" (Tela de Login)";"Clicar no campo ""Senha"" e inserir a senha.";"Sera preenchido a senha inserido no campo ""Senha"" e exibido em caractere oculta "".........""";;OK;;;;;
8;"Usuario deve estar aberto a tela de login, inserir SENHA no campo ""Senha"" e mostrar a senha (Tela de Login)";"Clicar no campo ""Senha"", inserir a senha e clicar no botao com simbolo de olho fechado.";"Sera preenchido a senha inserido no campo ""Senha"" e nao exibir em caractere oculta.";Apertando botao pode mostrar a senha em qualquer momento ;OK;;;;;
9;"Usuario deve estar aberto a tela de login e inserir NADA no campo ""Senha"" (Tela de Login)";"Clicar no campo ""Senha"" e clicar fora do campo ""Senha""";"Aparecera mensagem de erro (em cor vermelha) ""A senha não pode ficar vazia""";Inserindo no minimo 1 caractere, nao aparece este erro.;OK;;;;;
10;"Usuario deve estar aberto a tela de login, ja inserido os DADOS nos campos ""Usuario/Email"" e ""Senha"" e fazer login (Tela de login)";"Clicar e inserir dados nos campos ""Usuario/Email"" e ""Senha"", clicar no botao login.";Ira verificar se os dados preenchidos estao corretas e redirecionar para tela inicial com a sessao iniciada.;;OK;;;;;
